cycle,num_total,num_infected,num_dead
1,8160,389,0
2,8160,861,13
3,8160,1121,134
4,8160,1329,301
5,8160,1415,478
6,8160,1304,674
7,8160,1122,887
8,8160,908,1088
9,8160,728,1253
10,8160,522,1372
11,8160,382,1485
12,8160,334,1565
13,8160,289,1617
14,8160,248,1687
15,8160,244,1747
16,8160,251,1792
17,8160,296,1834
18,8160,318,1902
19,8160,358,1970
20,8160,392,2046
21,8160,466,2133
22,8160,528,2235
23,8160,571,2350
24,8160,630,2470
25,8160,693,2600
26,8160,706,2744
27,8160,695,2899
28,8160,778,3040
29,8160,782,3188
30,8160,783,3337
31,8160,863,3455
32,8160,885,3590
33,8160,887,3741
34,8160,902,3878
35,8160,876,4055
36,8160,913,4213
37,8160,888,4360
38,8160,867,4503
39,8160,865,4646
40,8160,856,4804
41,8160,856,4946
42,8160,860,5089
43,8160,828,5230
44,8160,788,5376
45,8160,755,5501
46,8160,737,5629
47,8160,727,5754
48,8160,633,5864
49,8160,611,5974
50,8160,562,6072
51,8160,516,6158
52,8160,460,6240
53,8160,424,6306
54,8160,366,6374
55,8160,331,6433
56,8160,293,6485
57,8160,269,6538
58,8160,228,6587
59,8160,202,6629
60,8160,187,6658
61,8160,166,6678
62,8160,142,6703
63,8160,122,6724
64,8160,104,6746
65,8160,99,6762
66,8160,81,6776
67,8160,68,6790
68,8160,55,6797
69,8160,46,6810
70,8160,46,6816
71,8160,48,6821
72,8160,38,6824
73,8160,31,6828
74,8160,33,6830
75,8160,29,6836
76,8160,23,6839
77,8160,16,6841
78,8160,12,6847
79,8160,9,6848
80,8160,7,6851
81,8160,5,6852
82,8160,3,6853
83,8160,3,6854
84,8160,1,6855
85,8160,1,6855
86,8160,1,6855
87,8160,1,6855
88,8160,1,6856
89,8160,1,6856
90,8160,0,6856
91,8160,0,6856
92,8160,0,6856
93,8160,0,6856
94,8160,0,6856
95,8160,0,6856
96,8160,0,6856
97,8160,0,6856
98,8160,0,6856
