cycle,num_total,num_infected,num_dead
1,8160,432,0
2,8160,992,14
3,8160,1346,140
4,8160,1523,310
5,8160,1480,555
6,8160,1325,782
7,8160,1091,992
8,8160,810,1180
9,8160,583,1347
10,8160,451,1453
11,8160,384,1534
12,8160,307,1619
13,8160,285,1691
14,8160,295,1753
15,8160,314,1822
16,8160,339,1888
17,8160,354,1949
18,8160,406,2012
19,8160,457,2087
20,8160,520,2176
21,8160,548,2274
22,8160,635,2382
23,8160,654,2496
24,8160,689,2631
25,8160,728,2747
26,8160,806,2864
27,8160,851,2984
28,8160,876,3135
29,8160,877,3282
30,8160,906,3439
31,8160,880,3590
32,8160,918,3727
33,8160,903,3877
34,8160,922,4033
35,8160,883,4177
36,8160,854,4329
37,8160,887,4475
38,8160,847,4606
39,8160,834,4737
40,8160,831,4870
41,8160,812,5008
42,8160,764,5147
43,8160,685,5286
44,8160,688,5395
45,8160,684,5517
46,8160,630,5611
47,8160,616,5715
48,8160,623,5804
49,8160,583,5906
50,8160,547,6009
51,8160,502,6098
52,8160,450,6172
53,8160,403,6258
54,8160,390,6316
55,8160,335,6387
56,8160,323,6441
57,8160,288,6496
58,8160,239,6544
59,8160,222,6576
60,8160,198,6610
61,8160,174,6639
62,8160,157,6666
63,8160,144,6688
64,8160,116,6713
65,8160,101,6735
66,8160,99,6752
67,8160,89,6773
68,8160,71,6783
69,8160,55,6795
70,8160,61,6809
71,8160,48,6817
72,8160,42,6821
73,8160,41,6827
74,8160,38,6831
75,8160,17,6838
76,8160,15,6844
77,8160,19,6845
78,8160,10,6848
79,8160,11,6851
80,8160,8,6854
81,8160,4,6858
82,8160,3,6860
83,8160,1,6861
84,8160,1,6861
85,8160,1,6861
86,8160,0,6861
87,8160,0,6861
88,8160,0,6861
89,8160,0,6861
90,8160,0,6861
91,8160,0,6861
92,8160,0,6861
93,8160,0,6861
94,8160,0,6861
95,8160,0,6861
96,8160,0,6861
97,8160,0,6861
98,8160,0,6861
