cycle,num_total,num_infected,num_dead
1,8160,536,0
2,8160,1267,12
3,8160,1754,122
4,8160,1975,281
5,8160,1906,513
6,8160,1737,761
7,8160,1512,971
8,8160,1184,1167
9,8160,788,1317
10,8160,463,1445
11,8160,310,1516
12,8160,224,1556
13,8160,204,1587
14,8160,164,1616
15,8160,135,1635
16,8160,141,1661
17,8160,153,1674
18,8160,153,1696
19,8160,167,1723
20,8160,171,1736
21,8160,180,1763
22,8160,195,1786
23,8160,199,1816
24,8160,208,1845
25,8160,236,1871
26,8160,243,1900
27,8160,271,1939
28,8160,290,1985
29,8160,310,2023
30,8160,329,2073
31,8160,343,2113
32,8160,373,2166
33,8160,384,2200
34,8160,374,2253
35,8160,399,2305
36,8160,404,2363
37,8160,371,2414
38,8160,407,2459
39,8160,443,2503
40,8160,405,2556
41,8160,429,2610
42,8160,473,2657
43,8160,442,2724
44,8160,445,2780
45,8160,492,2841
46,8160,479,2902
47,8160,454,2977
48,8160,482,3030
49,8160,494,3105
50,8160,480,3168
51,8160,507,3238
52,8160,509,3307
53,8160,494,3375
54,8160,521,3439
55,8160,529,3507
56,8160,519,3585
57,8160,545,3646
58,8160,513,3718
59,8160,544,3778
60,8160,551,3864
61,8160,585,3931
62,8160,588,4005
63,8160,592,4090
64,8160,589,4178
65,8160,596,4243
66,8160,596,4325
67,8160,621,4399
68,8160,652,4480
69,8160,638,4564
70,8160,666,4656
71,8160,629,4740
72,8160,613,4820
73,8160,666,4892
74,8160,608,4981
75,8160,578,5066
76,8160,612,5136
77,8160,559,5214
78,8160,544,5290
79,8160,545,5357
80,8160,546,5422
81,8160,493,5490
82,8160,511,5560
83,8160,490,5606
84,8160,481,5662
85,8160,503,5715
86,8160,500,5773
87,8160,473,5828
88,8160,488,5887
89,8160,482,5940
90,8160,455,5999
91,8160,473,6054
92,8160,446,6121
93,8160,434,6180
94,8160,445,6230
95,8160,448,6290
96,8160,427,6347
97,8160,405,6401
98,8160,415,6456
